全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23606924,978-0-578-42908-3,,俺たち、どこにもいられない = We have no place to be. 1980-1982 / 橋口譲二,,セッション = Session ; 11,"ニューヨーク : セッション・プレス, 2020",256 p ; 29 cm
23614576,978-0-646-82706-3,,友好の絆50年のあゆみ = Fifty years of friendship : 松戸市・ホワイトホース市姉妹都市提携50周年記念誌 : 1971-2021年 / ジェニファー・フォレスト 著 ; ホーキンソン美希 訳,,,"Victoria, Australia : Whitehorse City Council, 2021","16, 128 p ; 22 × 31 cm"
23591935,978-0-646-84488-6,,Reversible destiny = リバーシブルな未来 : Australian and Japanese contemporary photography,,,"東京 : 東京都歴史文化財団東京都写真美術館, 2021.8",143 p ; 27 cm
23539153,978-0-660-35061-5,,カナダにイノベーションを開花させた100年の歴史 = 100 years of innovation for Canada,,,"[オタワ] : National Research Council Canada, [2020]",140 p ; 30 cm
23581657,978-0-89213-504-2,,バガヴァッド・ギーター = Bhagavad-gītā : あるがままの詩 / A.C. バクティヴェーダンタ・スワミ・プラブパーダ,,,"[Los Angeles] : The Bhaktivedanta Book Trust, [2020]",864 p ; 19 cm
23607737,978-0-901032-54-6,,5-7-5 the haiku of Basho / John White & Kemmyo Taira Sato,,,"[ロンドン] : The Buddhist Society Trust, 2019",360 p ; 26 cm
23607736,978-0-901032-58-4,,5-7-5 the haiku of Issa / John White & Kemmyo Taira Sato,,,"[ロンドン] : The Buddhist Society Trust, 2019",348 p ; 26 cm
23607735,978-0-901032-59-1,,5-7-5 the haiku of Buson / John White & Kemmyo Taira Sato,,,"[ロンドン] : The Buddhist Society Trust, 2019",345 p ; 26 cm
23494747,978-0-9552447-4-2,,日本における広告会社への報酬実態調査 : 広告主はどのように広告会社に報酬を支払っているか / Jonathan M. Lace,,ARC/JAA調査結果 ; 2009年 第1回,"東京 : 日本アドバタイザーズ協会, 2009",167 p ; 30 cm
23581805,978-1-7333171-1-5,,"ママ、クリスマスのいみってなぁに? = Mama, what is the meaning of Christmas? / メイブル・ジャスティス 作 ; じっぽうとしよ 絵 ; おかべかずみ 訳",,,"[出版地不明] : [メイブル・ジャスティス], [2019]",31 p ; 23 × 23 cm
23516499,978-1-906063-28-3,,ザ・ラフ・ガイド・トゥブルース・リヴァイヴァル = Blues revival / compiled by Nigel Williamson,,Music rough guides,"[さいたま] : オフィス・サンビーニャ, [2009]",CD 2枚 ; 12 cm +
23516464,978-1-906063-4-29,,ザ・ラフ・ガイド・トゥアフロビート・リヴァイヴァル = Afrobeat revival / compiled by Pablo 'DJ Bongohead' Yglesias and Brendon 'DJ Andujar' Rule,,Music rough guides,"[さいたま] : ライス・レコード, [2009]",CD 2枚 ; 12 cm +
23516462,978-1-906063-4-36,,ザ・ラフ・ガイド・トゥタンゴ = Tango : ボーナスCD付き / compiled by Chris Moss,,Music rough guides,"[さいたま] : オフィス・サンビーニャ, [2009]",CD 2枚 ; 12 cm +
23508000,978-1-908025-46-3,,サイケデリック・ブラジル = Psychedelic Brazil / compiled by John Armstrong,,Music rough guides,"[さいたま] : サンビーニャ・インポート, [2016.5]",CD 2枚 ; 12 cm
23505904,978-1-908025-53-1,,ザ・ラフ・ガイド・トゥアラビック・レヴォリューション = Arabic revolution / compiled by Daniel Rosenberg,,Music rough guides,"[さいたま] : サンビーニャ・インポート, [2013.3]",CD 2枚 ; 12 cm
23578929,978-1-913962-64-7,,四国 / デイヴィッド・テプファー 作,,,"London : Clink Street Publishing, 2020",341 p ; 21 cm
