全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23562596,978-4-902098-04-4,,Dancing Kazuo Ohno / 吉田隆一 写真・原案,,,"東京 : かんた, 2011.4",1冊 (ページ付なし) ; 10 × 15 cm
23528325,978-4-902098-12-9,,ダンス・ハプニング1961年6月 = DANCE HAPPENING JUNE 1961 / WILLIAM KLEIN [写真],,,"東京 : かんた, 2021.4",335p ; 26cm
23537467,978-4-902109-55-9,,スポーツ栄養学最新理論. 2020年版 / 寺田新 編著,,,"東京 : 市村出版, 2020.10",248p ; 21cm
23584700,978-4-902109-56-6,,運動とスポーツの生理学 / 北川薫 編著,改訂4版,体育・スポーツ・健康科学テキストブックシリーズ,"東京 : 市村出版, 2020.10",136 p ; 26 cm
23576829,978-4-902109-57-3,,アスリート・コーチ・トレーナーのためのトレーニング科学 : トレーニングに普遍的な正解はない / 山本正嘉 著,,体育・スポーツ・健康科学テキストブックシリーズ,"東京 : 市村出版, 2021.2",204p ; 26cm
23509857,978-4-902117-70-7,,全国知的障害関係施設・事業所名簿 : 日本知的障害者福祉協会会員名簿. 2020,,,"東京 : 日本知的障害者福祉協会, 2021.3","3, 540 p ; 30 cm"
23602348,978-4-902119-34-3,,江戸天下祭絵巻の魅力 : 徳川美術館蔵「神田明神祭礼図巻」「山王祭礼図巻」 / 都市と祭礼研究会 編,,,"東京 : 渡辺出版, 2021.9",207 p ; 21 × 30 cm
23587858,978-4-902119-35-0,,"『金剛阿闍梨最上理趣』の究竟次第 = Niṣpannakrama of the Vajrācāryanayottama : introduction, romanized Sanskrit text and related studies / 田中公明",,,"東京 : 渡辺出版, 2021.8",104 p ; 21 cm
23534070,978-4-902151-81-7,,新これから学ぶ航空機整備英語マニュアル / 日本航空技術協会 編,,,"東京 : 日本航空技術協会, 2016.3",188 p ; 26 cm
23615117,978-4-902168-67-9,,全国日用品・化粧品業界名鑑. 2022,,,"大阪 : 石鹸新報社, 2021.11","9, 374 p ; 30 cm"
23529339,978-4-902177-10-7,,脳内力士 / 永井あをし [著],,,"東京 : 公募ガイド社, 2021.2",42 p ; 19 cm
23509190,978-4-902192-53-7,,助成研究報告集 = Annual research report. 2019年度 1 (理工学編),,,"東京 : ソルト・サイエンス研究財団, 2021.3",182 p ; 30 cm
23509191,978-4-902192-54-4,,助成研究報告集 = Annual research report. 2019年度 2 (医学食品科学編),,,"東京 : ソルト・サイエンス研究財団, 2021.3",362 p ; 30 cm
23517658,978-4-902192-55-1,,製塩プロセスで濃縮される未利用資源の高度回収技術の開発 : 理工学プロジェクト研究 : 2017-2019年度,,プロジェクト助成研究報告書 = Project research report : 理工学,"東京 : ソルト・サイエンス研究財団, 2021.3",94 p ; 30 cm
23569438,978-4-902237-36-8,,実用イタリア語検定1・2・準2級〈問題・解説〉 : 2020年秋季検定試験〈1・2・準2級〉2021年春季検定試験〈準2級〉. 2021,,,"東京 : 国際市民交流のためのイタリア語検定協会, 2021.8",180p ; 21cm +
23571777,978-4-902237-37-5,,実用イタリア語検定3・4・5級〈問題・解説〉 : 2020年秋季検定試験〈3・4・5級〉2021年春季検定試験〈3・4・5級〉. 2021,,,"東京 : 国際市民交流のためのイタリア語検定協会, 2021.8",210p ; 21cm +
23486794,978-4-902249-96-5,,母に学ぶ家族介護の心得と作法13カ条 / 藤腹明子 著,,,"東京 : 青海社, 2020.8",206p ; 21cm
23489548,978-4-902249-97-2,,緩和ケアで鍵となる研究 : 先を見通す背景読みスキル : 臨床に活きる! / 森田達也 著,,,"東京 : 青海社, 2020.8",199p ; 26cm
23562303,978-4-902249-98-9,,緩和ケア・がん看護臨床評価ツール大全 / 宮下光令 編集,,,"東京 : 青海社, 2020.12",395p ; 26cm
23607284,978-4-902249-99-6,,"ホスピス緩和ケア白書. 2021 / 木澤義之, 志真泰夫, 髙宮有介, 恒藤暁, 宮下光令 編集",,,"東京 : 青海社, 2021.4",130p ; 26cm
23588418,978-4-902251-59-3,,韓国の出版が歩んだ道 : 普及版韓国出版発展史 = その夢と冒険 / 李斗暎 著 ; 舘野晳 訳,,,"市川 : 出版メディアパル, 2021.9",494 p ; 22 cm
23517685,978-4-902251-60-9,,"世界書店紀行 : 本は友を呼び未来を拓く : カラー版 / 金彦鎬 著 ; 舘野晳 監修 ; 山田智子, 宗実麻美, 水谷幸惠 共訳",,,"市川 : 出版メディアパル, 2021.4",286 p ; 21 cm
23490130,978-4-902256-91-8,,逍遥自在なひとときを : 通仙庵雑記 / 通仙庵孝典 著,,,"東京 : A-Works, 2020.12",136p ; 20cm
23539981,978-4-902256-92-5,,全盲ハッピーマン = BLIND HAPPY MAN : 24歳で失明したら人生がもっと面白くなったんだけど、なんか質問ある? / 大平啓朗 著,,,"東京 : A-Works, 2021.5",198p ; 19cm
23586190,978-4-902256-93-2,,人生にキャンピングカーを / GAKU-MC 著,,,"東京 : A-Works, 2021.9",223p ; 21cm
23546035,978-4-902257-41-0,,うまれてそだつ : わたしたちのDNAといでん / ニコラ・デイビス 文 ; エミリー・サットン 絵 ; 越智典子 訳 ; 斎藤成也 監修,,,"武蔵野 : ゴブリン書房, 2021.4",33p ; 30cm
23515959,978-4-902262-38-4,,修道女アンジェリカ / Giovacchino Forzano [台本] ; プッチーニ 作曲 ; とよしま洋 訳,,イタリアオペラ対訳双書 ; 38,"横浜 : アウラ・マーニャ/イタリアオペラ出版, 2020.10",25p ; 26cm
23534762,978-4-902270-00-6,,"臓腑経絡学 / 藤本蓮風 監修 ; 藤本蓮風, 奥村裕一, 油谷真空 主編 ; 竹下謙, 佐藤隆哉, 竹内一志, 山下雄司, 伊藤和真, 橋本浩一, 大八木敏弘 協編",改訂第4版,,"大阪 : アルテミシア, 2017.11","15, 289 p ; 26 cm"
23533348,978-4-902270-10-5,,ツボ暗記カード : 国家試験対策,新装改訂版,,"大阪 : アルテミシア, 2021.4",216p ; 19cm
23585510,978-4-902282-24-5,,杏咲く頃 : 絵筆と歩いたシルクロード : 小間嘉幸絵画展 / 横浜市ふるさと歴史財団横浜ユーラシア文化館 編集,,,"横浜 : 横浜市ふるさと歴史財団横浜ユーラシア文化館, 2020.10",49 p ; 19 × 26 cm
23611107,978-4-902285-77-2,,地方税ガイドブック : 新任税務職員のための / 東京税務協会 編集,令和3年度版,,"東京 : 東京税務協会, 2021.4",500 p ; 21 cm
23616950,978-4-902285-78-9,,滞納整理事務の手引 / 東京都主税局徴収部 監修,第22版,,"東京 : 東京税務協会, 2021.4",217 p ; 21 cm
23610689,978-4-902285-79-6,,豊富な事例の土地評価実務の手引 / 東京税務協会 編集,第7版 (改訂),,"東京 : 東京税務協会, 2021.4",240 p ; 30 cm
23611108,978-4-902285-80-2,,地方税ミニガイド : 携帯に便利な税の手引書 : 実務家向け. 2021 / 東京都主税局 監修,,,"東京 : 東京税務協会, 2021.6","4, 175 p ; 21 cm"
23610688,978-4-902285-81-9,,償却資産実務の手引 : 固定資産税 / 東京都主税局資産税部 監修 ; 東京税務協会 編集,第7版 (改訂),,"東京 : 東京税務協会, 2021.5",267 p ; 30 cm
23611115,978-4-902285-82-6,,個人住民税実務の手引 / 東京税務協会 編集,令和3年度版,,"東京 : 東京税務協会, 2021.5",296 p ; 21 cm
23611110,978-4-902285-83-3,,法人住民税実務の手引 / 東京税務協会 編集,令和3年度版,,"東京 : 東京税務協会, 2021.5",210 p ; 21 cm
23616949,978-4-902285-84-0,,公売事務の手引 / 東京都主税局徴収部 監修 ; 東京税務協会 編集,第5版,,"東京 : 東京税務協会, 2021.7",515 p ; 21 cm
23540661,978-4-902295-39-9,,"石州流生花三百ヶ條 / 若泉光月, 若泉紘月, 山中信男, 山中素光 著 ; 米村孝一 監修・資料提供者",,,"土浦 : 石州流茶道茶書研究会, 2021.3",346 p ; 26 cm
23557352,978-4-902295-42-9,,利休のデザインコード / 上原瑞光 著,,,"熊本 : マインド, 2021.7",44 p ; 21 × 30 cm
23581477,978-4-902312-64-5,,ポストコロナ・ニューノーマル時代を支える光技術 : 紫外線技術と空中ディスプレイを中心にして,,OPTRONICS MOOK,"東京 : オプトロニクス社, 2021.5",137p ; 30cm
23586219,978-4-902312-65-2,,レーザー照明・ディスプレイ産業動向・市場予測レポート. 2021 / オプトロニクス社 編集,,,"東京 : オプトロニクス, 2021.6",160p ; 30cm
23515351,978-4-902329-71-1,,運行管理者国家試験過去の問題の解説と実践模擬問題 : 出題範囲の要点と問題40問付. 令和3年3月版貨物自動車運送事業編 / 国家試験受験対策研究会 編著,,,"東京 : 輸送文研社, 2020.10",447p ; 26cm
23515353,978-4-902329-72-8,,運行管理者国家試験出題範囲の要点の解説と実践模擬問題 : 出題範囲の要点と問題40問付. 令和3年3月版旅客自動車運送事業編 / 国家試験受験対策研究会 編著,,,"東京 : 輸送文研社, 2020.11",460p ; 26cm
23555913,978-4-902329-73-5,,運行管理者国家試験過去の問題の解説と実践模擬問題 : 出題範囲の要点と問題40問付. 令和3年度版貨物自動車運送事業編 / 国家試験受験対策研究会 編著,,,"東京 : 輸送文研社, 2021.5",429p ; 26cm
23555914,978-4-902329-74-2,,運行管理者国家試験出題範囲の要点の解説と実践模擬問題 : 出題範囲の要点と問題40問付. 令和3年度版旅客自動車運送事業編 / 国家試験受験対策研究会 編著,,,"東京 : 輸送文研社, 2021.5",448p ; 26cm
23483461,978-4-902378-72-6,,プロジェクトマネジメント学会2020年度秋季研究発表大会予稿集 / プロジェクトマネジメント学会行事委員会 編,,,"東京 : プロジェクトマネジメント学会, 2020.11",CD-ROM 1枚 ; 12 cm
23517581,978-4-902378-73-3,,プロジェクトマネジメント学会2021年度春季研究発表大会予稿集 / プロジェクトマネジメント学会行事委員会 編,,,"東京 : プロジェクトマネジメント学会, 2021.3",CD-ROM 1枚 ; 12 cm
23536237,978-4-902379-94-5,,産科医療補償制度再発防止委員会リーフレット・ポスターアーカイブ集 : 第1回-第10回再発防止に関する報告書 / 日本医療機能評価機構産科医療補償制度再発防止委員会 編集,,,"東京 : 日本医療機能評価機構, 2020.12",29 p ; 30 cm
23499263,978-4-902379-95-2,,病院機能評価データブック. 2019年度,,,"東京 : 日本医療機能評価機構, 2021.3",110 p ; 30 cm
23499265,978-4-902379-96-9,,病院機能評価データブック. 2019年度 別冊,,,"東京 : 日本医療機能評価機構, 2021.3",236 p ; 30 cm
23509037,978-4-902379-97-6,,産科医療補償制度再発防止に関する報告書 : 産科医療の質の向上に向けて. 第11回 / 日本医療機能評価機構産科医療補償制度再発防止委員会 編集,,,"東京 : 日本医療機能評価機構, 2021.3",89 p ; 30 cm
23528306,978-4-902381-43-6,,新しい介護保険のしくみ : よくわかる! / 長谷憲明 著,,,"東京 : 瀬谷出版, 2021.4",255p ; 26cm
23538823,978-4-902384-37-6 (セット),,"地球時間の旅 : 全国のジオパークを巡るマップ&ビジュアルガイド / 廣瀬亘 監修 ; 日本ジオパークネットワーク, 北海道地図株式会社, ジオ・ラボ 企画・制作",,,"旭川 : 北海道地図, 2021.3",地図 6枚 : 色刷 ; 60 × 84-84 × 60 cm (折りたたみ30 cm) +
23475831,978-4-902386-82-0,,群青の海 : ある被爆者の最後の一年 / 森成人 著.,,,"武蔵野 : さんこう社, 2020.12.",253p ; 19cm.
23500920,978-4-902386-83-7,,小説昭和四十八年浅草松竹演芸場 / 市川俊夫 著,,,"武蔵野 : さんこう社, 2021.1",175p ; 19cm
23610791,978-4-902386-84-4,,満天星 / 大口邦雄,,,"武蔵野 : さんこう社, 2021.11",423 p ; 19 cm
23614628,978-4-902386-85-1,,曇天の機影 / 森成人 著,,,"武蔵野 : さんこう社, 2021.11",232p ; 19cm
23599155,978-4-902387-30-8,,私のアメリカ日記1976/77 / 山田徹,,,"流山 : ごまめ書房, 2021.10",149 p ; 18 cm
23596639,978-4-902398-32-8,,中小企業診断士1次試験一発合格まとめシート : 一目でわかる!覚えてしまう! 2021年度合格目標版前編 / 野網美帆子 著,,,"[東京] : エイチス, 2020.10",335p ; 26cm
23596640,978-4-902398-33-5,,中小企業診断士1次試験一発合格まとめシート : 一目でわかる!覚えてしまう! 2021年度合格目標版後編 / 野網美帆子 著,,,"[東京] : エイチス, 2021.1",335p ; 26cm
23575496,978-4-902404-29-6,,21世紀俳句選集 / 林桂 編,,風の花冠文庫 ; 28,"前橋 : 鬣の会, 2021.8",191 p ; 15 cm
23615060,978-4-902404-30-2,,多行形式百人一句 : 俳句詞華集 / 林桂 編,,風の花冠文庫 ; 29,"前橋 : 鬣の会, 2021.12",113 p ; 15 cm
