全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23590691,978-4-535-58720-5,,高島道枝選集 : 雇用・労働における男女平等をめざして. 第2巻 / 高島道枝 著 ; 高島千代 編,,,"東京 : 日本評論社, 2021.8",384p ; 22cm
23470294,978-4-535-58752-6,,子ども虐待は、なくせる : 当事者の声で変えていこう / 今一生 著,,,"東京 : 日本評論社, 2020.11",219p ; 19cm
23500784,978-4-535-58753-3,,アニメと戦争 / 藤津亮太 著,,,"東京 : 日本評論社, 2021.2",261p ; 19cm
23486613,978-4-535-58755-7,,日本近代主権と「戦争革命」 / 小関素明 著,,,"東京 : 日本評論社, 2020.12",488p ; 22cm
23514370,978-4-535-58756-4,,"遺伝子社会学の試み : 社会学的生物学嫌いを超えて / 桜井芳生, 赤川学, 尾上正人 編著 ; 西谷篤, 安宅弘司, 丸田直子, 三原武司, 高口僚太朗 [執筆]",,,"東京 : 日本評論社, 2021.3",243p ; 22cm
23513520,978-4-535-58757-1,,ソーシャル・キャピタルからみた人間関係 : 社会関係資本の光と影 / 稲葉陽二 編著,,生存科学叢書,"東京 : 日本評論社, 2021.3",293p ; 19cm
23515415,978-4-535-58758-8,,ジャーナリズムの規範理論 / 塚本晴二朗 著,,日本大学法学部叢書 ; 第44巻,"東京 : 日本評論社, 2021.4",225p ; 22cm
23499702,978-4-535-58760-1,,初めてでもできる社会調査・アンケート調査とデータ解析 / 安藤明之 著,第3版,,"東京 : 日本評論社, 2021.2",262p ; 21cm
23622092,978-4-535-58761-8,,日本社会主義思想史序説 : 明治国家への対抗構想 / 大田英昭 著,,,"東京 : 日本評論社, 2021.11",298p ; 22cm
23569951,978-4-535-58764-9,,"なぜ君は総理大臣になれないのか / 大島新, 『なぜ君』制作班 著",,,"東京 : 日本評論社, 2021.7",167p ; 19cm
23590273,978-4-535-60761-3,,"太陽系と惑星 / 井田茂, 渡部潤一, 佐々木晶 編",第2版,シリーズ現代の天文学 ; 第9巻,"東京 : 日本評論社, 2021.8",327p ; 22cm
