全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23599198,978-4-286-23017-7,,姪と従兄弟とその女 / 安田亜村,,文芸社セレクション,"東京 : 文芸社, 2021.11",254 p ; 15 cm
23595208,978-4-286-23019-1,,ブラッドライン / 黒澤伊織 著,,文芸社文庫 ; く5-1,"東京 : 文芸社, 2021.10",236p ; 15cm
23590154,978-4-286-23021-4,,宮沢賢治の2つのお話 / 宮沢賢治 作 ; 浅野薫 絵,,,"東京 : 文芸社, 2021.10",38 p ; 19 × 27 cm
23590318,978-4-286-23022-1,,錦川黎明 / 石兼章,,,"東京 : 文芸社, 2021.10",251 p ; 20 cm
23590323,978-4-286-23023-8,,いろは夢物語 / 竹本圭匠,,,"東京 : 文芸社, 2021.10",214 p ; 19 cm
23586599,978-4-286-23024-5,,金物屋信司. 2 / 鈴木徹男 著,,,"東京 : 文芸社, 2021.10",452p ; 20cm
23609088,978-4-286-23025-2,,秘色さがしの日めくりことば : 心に手鏡を持って / 奥脇洋子,,,"東京 : 文芸社, 2021.11",269 p ; 19 cm
23586605,978-4-286-23026-9,,あの頃東ドイツの片隅で / 吉田和彦 著,,,"東京 : 文芸社, 2021.10",317p ; 19cm
23604235,978-4-286-23028-3,,老残のタンポポ : 踏まれても踏まれても咲く / 山原八重子,,,"東京 : 文芸社, 2021.10",154 p ; 20 cm
23593232,978-4-286-23029-0,,ありのままに : 私の人生いろいろ / 荒木紅色,,,"東京 : 文芸社, 2021.10",94 p ; 19 cm
23616739,978-4-286-23030-6,,はるちゃんのプレゼント / たんぽぽ彩 文・絵,,,"東京 : 文芸社, 2021.12",15p ; 22cm
23600689,978-4-286-23031-3,,トマトちゃんときゅうりくん / 神原純子 文 ; やざわさわこ 絵,,,"東京 : 文芸社, 2021.11",15 p ; 27 cm
23589689,978-4-286-23032-0,,いろいろなみつ / 嶋田浩子,,,"東京 : 文芸社, 2021.10",1冊 (ページ付なし) ; 22 cm
23612032,978-4-286-23035-1,,伝言 = Message : わたしへ、そしてあなたへ / 樫宇夏,,,"東京 : 文芸社, 2021.11",135 p ; 19 cm
23599260,978-4-286-23036-8,,老耄の謀叛 : 蘭亭序草稿異聞 / 土屋伸,,,"東京 : 文芸社, 2021.11",199 p ; 15 cm
23599211,978-4-286-23037-5,,タンザナイトの女 / 斎藤仁史,,,"東京 : 文芸社, 2021.11",244 p ; 15 cm
23600613,978-4-286-23038-2,,おひさまどうしたの? / なかむらともこ,,,"東京 : 文芸社, 2021.11",1冊 (ページ付なし) ; 27 cm
23589794,978-4-286-23040-5,,船大工の娘 : 二つの島が一つになった / AmA夢草,,,"東京 : 文芸社, 2021.10",1冊 (ページ付なし) ; 15 × 21 cm
23589672,978-4-286-23041-2,,碧き海の伝説 / 月野透,,文芸社セレクション,"東京 : 文芸社, 2021.10",79 p ; 15 cm
23593700,978-4-286-23042-9,,Kanomono / 夢みる夢子,,,"東京 : 文芸社, 2021.10",109 p ; 19 cm
23589667,978-4-286-23043-6,,歩影 : 詩集 / 中村修一,,文芸社セレクション,"東京 : 文芸社, 2021.10",111 p ; 15 cm
23601876,978-4-286-23044-3,,そういえば、むかしは / あさくりつとむ,,,"東京 : 文芸社, 2021.11",1冊 (ページ付なし) ; 15 × 22 cm
23600702,978-4-286-23045-0,,カモメのユーヤン / うえのあきひろ,,,"東京 : 文芸社, 2021.11",15 p ; 21 cm
23610787,978-4-286-23046-7,,絶滅危惧種の病理医は人工知能 (AI) に勝てるか? / 沼本敏,,文芸社セレクション,"東京 : 文芸社, 2021.11",129 p ; 15 cm
23610783,978-4-286-23047-4,,母を想いて / 真秀場弥生,,文芸社セレクション,"東京 : 文芸社, 2021.11",87 p ; 15 cm
23600722,978-4-286-23048-1,,Snout of happiness / やんぐなら 作・絵,,,"東京 : 文芸社, 2021.11",38 p ; 19 × 26 cm
23599261,978-4-286-23049-8,,自分史の闇 / 福岡薫,,文芸社セレクション,"東京 : 文芸社, 2021.11",247 p ; 15 cm
23590335,978-4-286-23050-4,,八月、消えずの火 / 縄文杉太郎,,,"東京 : 文芸社, 2021.10",237 p ; 15 cm
23621852,978-4-286-23051-1,,中國古代思想研究 / 安本博,,,"東京 : 文芸社, 2021.12",318 p ; 20 cm
23613103,978-4-286-23052-8,,日本理想未来図 : 効率的な政府、公平な政治 / 中川智和,,,"東京 : 文芸社, 2021.11",339 p ; 20 cm
23604237,978-4-286-23054-2,,斎藤茂吉からの系譜 / 高橋良,,,"東京 : 文芸社, 2021.10",176 p ; 20 cm
23615828,978-4-286-23055-9,,リスペクト・リスペクト : 大井夫人と望月百合子嬢 / 山下健市,,,"東京 : 文芸社, 2021.11",95 p ; 19 cm
23599266,978-4-286-23056-6,,ジ アース = The earth / 村野希雪,,,"東京 : 文芸社, 2021.11",186 p ; 15 cm
23617328,978-4-286-23057-3,,Original astromoda. 1 / NagaYahRa,,,"東京 : 文芸社, 2021.12",617 p ; 22 cm
23617329,978-4-286-23058-0,,Original astromoda. 2 / NagaYahRa,,,"東京 : 文芸社, 2021.12",389 p ; 22 cm
23599859,978-4-286-23059-7,,渦巻いて : 三河牧野一族の波瀾. 上巻 / 岩瀬崇典,,,"東京 : 文芸社, 2021.11",247 p ; 20 cm
23599259,978-4-286-23060-3,,落語月の会 / 鳴尾健,,,"東京 : 文芸社, 2021.11",205 p ; 15 cm
23611844,978-4-286-23063-4,,青砥藤綱摸稜案 : 現代語訳 : 曲亭馬琴の名裁判物語 / 有坂正三,,,"東京 : 文芸社, 2021.11",323 p ; 19 cm
23600720,978-4-286-23064-1,,高くまぶしい空の下で / 新井輝実,,,"東京 : 文芸社, 2021.11",149 p ; 19 cm
23589669,978-4-286-23068-9,,何を探してひとり旅 / 藤井はなこ,,文芸社セレクション,"東京 : 文芸社, 2021.10",101 p ; 15 cm
23608116,978-4-286-23069-6,,十年十色 : ほぼ20年の区切りの中での出会い / 杉原淳,,文芸社セレクション,"東京 : 文芸社, 2021.11",75 p ; 15 cm
23620297,978-4-286-23070-2,,砂漠にて / 玉城まさし,,,"東京 : 文芸社, 2021.12",389 p ; 15 cm
23599186,978-4-286-23071-9,,未来に生きる・舞 / 原哲夫,,,"東京 : 文芸社, 2021.11",226 p ; 19 cm
23621592,978-4-286-23072-6,,電動化戦争迎え撃つトヨタ : 世界気候変動とクルマ電動化の未来 / 奥田富佐二,,,"東京 : 文芸社, 2021.12",99 p ; 20 cm
23617287,978-4-286-23073-3,,おやすみ / たむらふき 著,,,"東京 : 文芸社, 2021.12",1冊(ページ付なし) ; 16×22cm
23615233,978-4-286-23074-0,,繁吹雨×翔雲 / 二ツ木斗真,,,"東京 : 文芸社, 2021.12",351 p ; 15 cm
23608117,978-4-286-23075-7,,人生を仕舞うとき : 笑顔で生き抜いた母との七十九日間の記録 / 山名萌絵,,文芸社セレクション,"東京 : 文芸社, 2021.11",123 p ; 15 cm
23599268,978-4-286-23076-4,,長谷川恵三の備忘録 : 完全密室の不完全な殺人事件 / 小林什無,,文芸社セレクション,"東京 : 文芸社, 2021.11",123 p ; 15 cm
23621576,978-4-286-23077-1,,デイドリームビリーバー国東トレイン / 豊崎十三,,文芸社セレクション,"東京 : 文芸社, 2021.12",183 p ; 15 cm
23609084,978-4-286-23080-1,,八十二年日記 / 関口義有,,,"東京 : 文芸社, 2021.11",59 p ; 20 cm
23601171,978-4-286-23081-8,,哲学抄 / 丸野宏,,,"東京 : 文芸社, 2021.10",128 p ; 20 cm
23599202,978-4-286-23082-5,,アイアム・ハッピー. 上 / 木之川はじめ,,,"東京 : 文芸社, 2021.11",445 p ; 15 cm
23599207,978-4-286-23083-2,,アイアム・ハッピー. 下 / 木之川はじめ,,,"東京 : 文芸社, 2021.11",427 p ; 15 cm
23613039,978-4-286-23084-9,,精神的成長とは何か? / 羽東良夫,,,"東京 : 文芸社, 2021.11",187 p ; 19 cm
23615076,978-4-286-23085-6,,永い旅路 / 海原初音 著,,,"東京 : 文芸社, 2021.11",157p ; 20cm
23616947,978-4-286-23087-0,,龍の目にも涙、翡翠の眼には雷鳴を / 伊杜悠久 著,,,"東京 : 文芸社, 2021.12",251p ; 19cm
23589805,978-4-286-23089-4,,柳太の川柳漫歩帖 / 大森昌,,,"東京 : 文芸社, 2021.8",155 p ; 19 cm
23599562,978-4-286-23094-8,,道産子マルちゃん / 宇月すず,,,"東京 : 文芸社, 2021.11",15 p ; 15 × 21 cm
23608112,978-4-286-23095-5,,居留民 / よしみみのる,,文芸社セレクション,"東京 : 文芸社, 2021.11",71 p ; 15 cm
23599262,978-4-286-23096-2,,弱虫勇者の御伽噺 / 黒江うさぎ,,文芸社セレクション,"東京 : 文芸社, 2021.11",130 p ; 15 cm
23610785,978-4-286-23097-9,,"「あゝ読まなきゃ良かった」…これでいいのか、貴方の信仰 俺は死んじまった / 小椋仏, 落合光明",,文芸社セレクション,"東京 : 文芸社, 2021.11",128 p ; 15 cm
23599177,978-4-286-23098-6,,らいふ / 小石川ひさ,,,"東京 : 文芸社, 2021.11",73 p ; 21 cm
23613104,978-4-286-23100-6,,88年史 : 波乱万丈の少年時代から希望の道が開けました / 東郷克三,,,"東京 : 文芸社, 2021.11",97 p ; 19 cm
23621587,978-4-286-23101-3,,カタツムリ飼育だより / 浜崎せんぞう,,,"東京 : 文芸社, 2021.12",75 p ; 19 cm
23599264,978-4-286-23104-4,,愛の領域 : ドーバー海峡トンネル開通への夢 / 小野友貴枝,,,"東京 : 文芸社, 2021.11",233 p ; 15 cm
23610782,978-4-286-23105-1,,学童ノススメ : 天使たちの日常 / おおたにまさえ ぶん・え,,,"東京 : 文芸社, 2021.11",91 p ; 19 cm
23611481,978-4-286-23107-5,,400万年の啓発 : 超古代高度先進文明と生物大量絶滅 / リンムー/鈴木和夫,,,"東京 : 文芸社, 2021.11",273 p ; 19 cm
23617861,978-4-286-23108-2,,女王イノエ / 齋藤秀樹 著,,,"東京 : 文芸社, 2021.12",139p ; 19cm
23617838,978-4-286-23109-9,,夢語 / 上宿歩 著,,,"東京 : 文芸社, 2021.12",271p ; 20cm
23623270,978-4-286-23111-2,,丘の上の夏 : Happy Days on the Hilltop / 碧史郎 著,,,"東京 : 文芸社, 2021.12",571p ; 20cm
