全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23617290,978-4-286-23113-6,,おばあちゃんの古いラッパ / きたまえけんじ 作 ; 陣条和榮 絵,,,"東京 : 文芸社, 2021.12",30p ; 16×22cm
23610798,978-4-286-23119-8,,妻を看取って : 付き添い日記 / 木下野生,,,"東京 : 文芸社, 2021.11",384 p ; 19 cm
23599861,978-4-286-23120-4,,蛇男、走る! / タケルノミコトモドキ,,,"東京 : 文芸社, 2021.11",109 p ; 19 cm
23622655,978-4-286-23121-1,,関の山から吹く風 / 新井田忠 著,,,"東京 : 文芸社, 2021.12",266p ; 19cm
23613106,978-4-286-23122-8,,玉砕の硫黄島に生きた混成第二旅団野戦病院 / 野口巌,,,"東京 : 文芸社, 2021.11",237 p ; 20 cm
23608864,978-4-286-23123-5,,New perspectives on globalization : developing global literacy to catch up with the global trend / Sato Setsuya,,,"東京 : 文芸社, 2021.10",239 p ; 21 cm
23588307,978-4-286-23124-2,,Hyde時々Jekyll. 続 / 吉岡仁史,,,"東京 : 文芸社, 2021.9",230 p ; 19 cm
23622379,978-4-286-23125-9,,薬師如来像が語る飛鳥女帝王朝 : 聖徳太子と斑鳩宮の悲劇 / 津田慎一,,,"東京 : 文芸社, 2021.12",150 p ; 19 cm
23618640,978-4-286-23126-6,,フェルメールの囁き : ラピスラズリの犬 / 安藤紘平 著,,,"東京 : 文芸社, 2021.12",348p ; 20cm
23621480,978-4-286-23127-3,,あなたと一緒に生きていたかった / 九条真茶子,,,"東京 : 文芸社, 2021.12",119 p ; 20 cm
23598346,978-4-286-23129-7,,心にほっ / 池田海 文・絵,,,"東京 : 文芸社, 2021.10",62 p ; 13 × 19 cm
23599563,978-4-286-23130-3,,Dear friends♡ : かけがえのないともだち / えすあやか さく・え,,,"東京 : 文芸社, 2021.11",23 p ; 21 cm
23617515,978-4-286-23131-0,,泣き虫クモの子三十郎 / 緑乃季節図案室。 著,,,"東京 : 文芸社, 2021.12",22p ; 15×21cm
23610786,978-4-286-23132-7,,終焉 / 佐藤玲子,,文芸社セレクション,"東京 : 文芸社, 2021.11",93 p ; 15 cm
23608119,978-4-286-23133-4,,囲碁こぼれ話 / 木澤廉治 編著,,文芸社セレクション,"東京 : 文芸社, 2021.11",308 p ; 15 cm
23599265,978-4-286-23134-1,,北斗七星 / 汪洋乱舞,,文芸社セレクション,"東京 : 文芸社, 2021.11",63 p ; 15 cm
23620863,978-4-286-23136-5,,胡蝶蘭に寄せる十二の詩 : 音楽詩集 : R・シューマン『蝶々』 (作品2) による / 廣田俊三,,,"東京 : 文芸社, 2021.12",26 p ; 21 cm
23616292,978-4-286-23137-2,,忘れ形見は叔父と暮らす / 菅原千明 著,,,"東京 : 文芸社, 2021.12",229p ; 15cm
23620873,978-4-286-23138-9,,蓮華 : 仏を探す / 佐藤正幸,,文芸社セレクション,"東京 : 文芸社, 2021.12",175 p ; 15 cm
23591510,978-4-286-23141-9,,伝家の宝刀 / 式部,,,"東京 : 文芸社, 2021.9",130 p ; 20 cm
23599881,978-4-286-23143-3,,お袋という相棒 / 稲上説雄,,,"東京 : 文芸社, 2021.11",217 p ; 19 cm
23613107,978-4-286-23144-0,,彭徳懐の中国革命 : 毛沢東に直言した熱血・清廉な軍人の生涯 / 志田善明,,,"東京 : 文芸社, 2021.11",235 p ; 20 cm
23613108,978-4-286-23146-4,,"GIST (ジスト 消化管間質腫瘍) : ""懸命に""""誠実に""が作った濃密な6年4カ月 / 多羅順之, 多羅晶子",,,"東京 : 文芸社, 2021.11",147 p ; 20 cm
23615230,978-4-286-23150-1,,もう一度会いたい今はもういない君へ : これは愛の物語 / 坂口麻里亜,,,"東京 : 文芸社, 2021.12",634 p ; 15 cm
23615551,978-4-286-23152-5,,心葉集 / 湯浅洋一,,,"東京 : 文芸社, 2021.12",198 p ; 20 cm
23620857,978-4-286-23153-2,,路面電車フクラム殺人事件 = A murder on Fukui Railway streetcar Fukuram : 21.5kmのトリック / 北府茂市,,,"東京 : 文芸社, 2021.12",199 p ; 15 cm
23617275,978-4-286-23157-0,,ミニピンセンちゃん / ふじいきーうい 作 ; 山本えりこ 絵,,,"東京 : 文芸社, 2021.12",23p ; 16×22cm
23616323,978-4-286-23162-4,,私訳ランボーアンソロジー / SeReine Junco Kobayashi,,,"東京 : 文芸社, 2021.12",91 p ; 20 cm
23617177,978-4-286-23164-8,,おばぁちゃんのまほうのおはぎ / 光星一月 さく・え,,,"東京 : 文芸社, 2021.12",1冊(ページ付なし) ; 27cm
23608120,978-4-286-23166-2,,アドマンの一生 : 実録 / 米内貞弘,,文芸社セレクション,"東京 : 文芸社, 2021.11",370 p ; 15 cm
23617742,978-4-286-23173-0,,笹井小夏は振り向かない / 青田風 著,,文芸社文庫NEO ; あ10-1,"東京 : 文芸社, 2021.11",306p ; 15cm
23599857,978-4-286-23174-7,,原風景への道程 : 詩集. 第1集 / 岡村光章,,,"東京 : 文芸社, 2021.11",194 p ; 22 cm
23622450,978-4-286-23175-4,,小川家の人々 / 小川博嗣 原作 ; 小梨沢優 編著,,,"東京 : 文芸社, 2021.12",158p ; 19cm
23616275,978-4-286-23180-8,,サクラと僕の物語 / マクシミリアン 語り ; 野替千代 訳・画,,,"東京 : 文芸社, 2021.12",110p ; 20cm
23617270,978-4-286-23182-2,,おばあさんとミカンと小鳥たち. 1 / 山内ひさ子 文 ; 尾野久子 絵,,,"東京 : 文芸社, 2021.12",27p ; 19×19cm
23617273,978-4-286-23183-9,,おばあさんとミカンと小鳥たち. 2 / 山内ひさ子 文 ; 尾野久子 絵,,,"東京 : 文芸社, 2021.12",27p ; 19×19cm
23622914,978-4-286-23189-1,,色があふれている / 柴野博子,,,"東京 : 文芸社, 2021.12",14 p ; 22 cm
23593704,978-4-286-23196-9,,宇宙人類教 / 式部,,,"東京 : 文芸社, 2021.10",129 p ; 20 cm
23621582,978-4-286-23197-6,,母への手紙. 上巻 / おわん太郎,,,"東京 : 文芸社, 2021.12",165 p ; 19 cm
23621584,978-4-286-23198-3,,母への手紙. 下巻 / おわん太郎,,,"東京 : 文芸社, 2021.12",153 p ; 19 cm
23602642,978-4-286-23200-3,,磯っ子物語 / 佐藤功,,,"東京 : 文芸社, 2021.11",59 p ; 22 cm
23617249,978-4-286-23203-4,,やすらぎの苑 / 北川聖 著,,,"東京 : 文芸社, 2021.12",114p ; 20cm
23621495,978-4-286-23211-9,,1972年からの来訪 / 黒川甚平 著,,文芸社文庫 ; く6-1,"東京 : 文芸社, 2021.12",253p ; 15cm
23617283,978-4-286-23212-6,,ぷるり / いいな さく ; いいお え,,,"東京 : 文芸社, 2021.12",1冊(ページ付なし) ; 15×21cm
23617175,978-4-286-23213-3,,はじめてのどうぶつえん / ひかさゆき 文 ; ひかさのりこ 絵,,,"東京 : 文芸社, 2021.12",16p ; 19×27cm
23621574,978-4-286-23217-1,,愛情心理餓苦 : 母の所望を生産し続けた罪 / 焔火鳥,,文芸社セレクション,"東京 : 文芸社, 2021.12",159 p ; 15 cm
23621573,978-4-286-23218-8,,わたしのおやさん / 福井英一,,文芸社セレクション,"東京 : 文芸社, 2021.12",86 p ; 15 cm
23615231,978-4-286-23225-6,,女王蜂・幻華 / 仲鋸宇一,,,"東京 : 文芸社, 2021.12",169 p ; 15 cm
23621589,978-4-286-23226-3,,古代日本史跡めぐり : 縄文-古墳時代の史跡を中心にクルマで巡った歴史紀行 / 平泉秀成 写真・文,,,"東京 : 文芸社, 2021.12",395 p ; 19 cm
23621492,978-4-286-23227-0,,モモスケアーカイブ / あさとべじゅんいち 文・絵,,,"東京 : 文芸社, 2021.12",31p ; 27cm
23615232,978-4-286-23229-4,,あの日、雨が降っていなければ / 貴堂水樹,,,"東京 : 文芸社, 2021.12",275 p ; 15 cm
23622654,978-4-286-23235-5,,槍持ち / 森義輝 著,,,"東京 : 文芸社, 2021.12",109p ; 19cm
23620868,978-4-286-23241-6,,季野秋姫作品集 / 季野秋姫,,文芸社セレクション,"東京 : 文芸社, 2021.12",49 p ; 15 cm
23600623,978-4-286-23247-8,,こころってなーに? / Coco&loloめぐみ,,,"東京 : 文芸社, 2021.11",1冊 (ページ付なし) ; 27 cm
23622651,978-4-286-23261-4,,男たちのラプソディー : 大手商社の片隅で事業にかけた男たちのドラマ / 星一平 著,,,"東京 : 文芸社, 2021.12",285p ; 20cm
23599868,978-4-286-23272-0,,罪全先生の友達 / 清水達也,,,"東京 : 文芸社, 2021.11",127 p ; 19 cm
23621596,978-4-286-23273-7,,日本民主国家という廃墟 / 堀江秀治,,,"東京 : 文芸社, 2021.12",86 p ; 20 cm
23616936,978-4-286-23304-8,,何故 / 西村まどか 著,,,"東京 : 文芸社, 2021.12",92p ; 19cm
23621499,978-4-286-23329-1,,討ち入りたくない内蔵助 / 白蔵盈太 著,,文芸社文庫 ; し6-2,"東京 : 文芸社, 2021.12",260p ; 15cm
23614187,978-4-286-23348-2,,霧のなかのバーバラ : 学習しょうがいを克服した女性の物語 / 片山恭一 著,,,"東京 : 文芸社, 2021.11",213p ; 19cm
23599869,978-4-286-23363-5,,あしあと : ブログ短歌集 / 徳井浩,改訂版,,"東京 : 文芸社, 2021.11",32 p ; 19 cm
23621482,978-4-286-23364-2,,死とはなにか / 堀江秀治,,,"東京 : 文芸社, 2021.12",55 p ; 20 cm
23622413,978-4-286-23469-4,,まっすぐな遠まわり / 岡田瑳久 著,,,"東京 : 文芸社, 2021.12",202p ; 19cm
23571414,978-4-294-00061-8,,幸せだったよ : ラッキーからあなたへ / 川畑しのぶ 著,,,"東京 : グレイプス, 2017.11",61 p ; 13 cm
23559193,978-4-294-00062-5,,風吹く街で、きみのいる場所 / オカケンイチ 撮影,,,"東京 : グレイプス, 2017.11",58 p ; 13 cm
23559239,978-4-294-00063-2,,花はずかしいキミ / 飯田エリカ [撮影],,,"東京 : グレイプス, 2018.2",58 p ; 13 cm
23554349,978-4-294-00064-9,,儚く真白なキミ / 飯田エリカ,,,"東京 : グレイプス, 2018.2",55 p ; 13 cm
23559197,978-4-294-00067-0,,風吹く街できみのいる場所. 2 / オカケンイチ フォトグラファー,,,"東京 : グレイプス, 2018.5",59 p ; 13 cm
23559236,978-4-294-00070-0,,パンとキミ : ももぱん記録#1 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2018.4",60 p ; 13 cm
23553704,978-4-294-00071-7,,パンとキミ : ももぱん記録#2,,,"東京 : グレイプス, 2018.6",34 p ; 21 cm
23559235,978-4-294-00072-4,,瞬きとアオハルとキミ / 飯田エリカ [撮影],,,"東京 : グレイプス, 2018.6",48 p ; 13 cm
23559199,978-4-294-00073-1,,風吹く街で、きみのいる場所. 3 / オカケンイチ フォトグラファー,,,"東京 : グレイプス, 2018.7",59 p ; 13 cm
23568839,978-4-294-00074-8,,Neo kimono in London / ミシェル由衣 著,,,"東京 : グレイプス, 2018.8",55 p ; 13 cm
23559201,978-4-294-00075-5,,風吹く街で、きみのいる場所. 4 / オカケンイチ フォトグラファー,,,"東京 : グレイプス, 2018.12",59 p ; 13 cm
23542736,978-4-294-00078-6,,白井可愛台湾 / 飯田エリカ 撮影,,,"東京 : グレイプス, [2019]",1冊 (ページ付なし) ; 26 cm
23559204,978-4-294-00079-3,,風吹く街できみのいる場所. 5 / オカケンイチ [撮影],,,"東京 : グレイプス, 2019.5",58 p ; 13 cm
23559210,978-4-294-00080-9,,0304-026 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.5",48 p ; 13 cm
23559213,978-4-294-00081-6,,0304-085 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.6",51 p ; 13 cm
23542740,978-4-294-00083-0,,20 : 夏海写真集 / 飯田エリカ 写真,,,"東京 : グレイプス, 2019.6",1冊 (ページ付なし) ; 21 cm
23559214,978-4-294-00084-7,,0304-128 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.8",57 p ; 13 cm
23559217,978-4-294-00085-4,,0304-149 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.8",55 p ; 13 cm
23559219,978-4-294-00087-8,,0304-188 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.9",43 p ; 13 cm
23559221,978-4-294-00088-5,,0304-221 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.10",60 p ; 13 cm
23559223,978-4-294-00089-2,,0304-251 / 飯田エリカ,,,"東京 : グレイプス, 2019.11",53 p ; 13 cm
23559229,978-4-294-00090-8,,0304-277 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2019.12",44 p ; 13 cm
23559231,978-4-294-00091-5,,0304-320 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2020.1",60 p ; 13 cm
23570698,978-4-294-00092-2,,月の宮処へ / ちる×オカケンイチ,,,"東京 : グレイプス, 2020.2",64 p ; 13 cm
23559232,978-4-294-00093-9,,0304-345 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2020.3",36 p ; 13 cm
23559237,978-4-294-00095-3,,Scenes for solace / 飯田エリカ [撮影],,,"東京 : グレイプス, 2020.4",50 p ; 13 cm
23559234,978-4-294-00096-0,,0304-365 / 飯田エリカ [撮影],,,"東京 : グレイプス, 2020.4",59 p ; 13 cm
23559205,978-4-294-00097-7,,私が私であるために = For me to be myself : ましゅろー×オカケンイチ / オカケンイチ フォトグラファー,,,"東京 : グレイプス, 2020.8",61 p ; 13 cm
23530656,978-4-295-00605-3,,ストーリーで学ぶネットワークの基本 / 左門至峰 著,,,"東京 : インプレス, 2021.5",383p ; 21cm
23500751,978-4-295-00817-0,,インバウンド調査報告書 = Inbound Marketing Report. 2020 / 訪日ラボ 著,,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2019.12",441p ; 30cm +
23500733,978-4-295-00824-8,,"海外ドローン市場注目企業の最新動向 = World Drone Market Report. 2020 / 田中亘, 野々下裕子, 春原久徳, インプレス総合研究所 著",,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.2",151p ; 30cm +
23484731,978-4-295-00831-6,,クラウド&データセンター完全ガイド. no. 67 (2020年冬号).,,Impress mook,"東京 : インプレス, 2019.12.",143p ; 28cm.
23500747,978-4-295-00865-1,,データセンター調査報告書 = Data Center Research Report. 2020 / クラウド&データセンター完全ガイド 監修 ; インプレス総合研究所 編,,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.3",324p ; 30cm +
23531696,978-4-295-00868-2,,○△□でゆるっと描けちゃうEriyのおでかけスケッチ / Eriy 著,,,"東京 : インプレス, 2021.3",143p ; 21cm
23500736,978-4-295-00869-9,,"ドローンビジネス調査報告書 = Drone Business Research Report. 2020 / 春原久徳, 青山祐介, インプレス総合研究所 著",,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.4",481p ; 30cm +
23500323,978-4-295-00880-4,,"BtoB-EC市場の現状と販売チャネルEC化の手引き = BtoB-EC Marketing Report : 今後デジタル化が進むBtoBとECがもたらす変革. 2020 / 鵜飼智史 監修 ; 鵜飼智史, 森田秀一, 公文紫都, インプレス総合研究所 著",,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.3",196p ; 30cm +
23509082,978-4-295-00914-6,,世界一やさしいiPhone SE : はじめてでも迷わずかんたん!,,impress mook,"東京 : インプレス, 2020.8",79p ; 28cm
23514134,978-4-295-00915-3,,世界一やさしいウィンドウズ10 : 初心者でもらくらくこれ一冊で楽しく使える!,最新改訂版,impress mook,"東京 : インプレス, 2020.9","15, 79 p ; 28cm"
23512482,978-4-295-00963-4,,クラウド&データセンター完全ガイド. No. 69 (2020年夏号),,Impress mook,"東京 : インプレス, 2020.7",135 p ; 28 cm
23500748,978-4-295-00975-7,,"動画配信ビジネス調査報告書 = Internet Video Research Report. 2020 / 森田秀一, インプレス総合研究所 著",,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.7",344p ; 30cm +
23529977,978-4-295-00991-7,,世界一やさしい+WordPress 5.x対応,,impress mook,"東京 : インプレス, 2020.10",95p ; 28cm
23511209,978-4-295-00992-4,,世界一やさしいZoom : はなれていてもみんなで話せる♪,,impress mook,"東京 : インプレス, 2020.9",79p ; 28cm
23515208,978-4-295-00993-1,,世界一やさしいエクセルワード,,impress mook,"東京 : インプレス, 2020.10",95p ; 28cm
23500745,978-4-295-00995-5,,電子書籍ビジネス調査報告書 = eBook Marketing Report. 2020 / インプレス総合研究所 著・編,,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.8",278p ; 30cm +
23468715,978-4-295-01013-5,,集中演習デジタルマーケターのためのテクノロジー入門 / 山田良太 著,,できるDigital Camp,"東京 : インプレス, 2020.11",286p ; 21cm
23500740,978-4-295-01014-2,,"ドローンビジネス調査報告書 = Drone Business Research Report. 2021インフラ・設備点検編 / 青山祐介, インプレス総合研究所 著",,インプレス総合研究所〈新産業調査レポートシリーズ〉,"東京 : インプレス, 2020.9",180p ; 30cm +
23500320,978-4-295-01020-3,,商用化が進む電力・エネルギー分野のブロックチェーン技術 = Blockchain Technology in the Utility and Energy Sector : 電力トレーサビリティ/P2P取引から法規制・標準化、ビジネスモデルまで. 2020-2021 / 大串康彦 著 ; SmartGridニューズレター編集部 編,,スマートグリッドシリーズ,"東京 : インプレス, 2020.9",156p ; 30cm +
