全国書誌番号,ISBN,ISSN,タイトル・著者,版表示,シリーズ,出版事項,大きさ等
23624402,978-4-7609-2055-6,,日本の民謡 : 混声合唱のためのコンポジション. 第6集 / 松下耕 作曲,,,"東京 : カワイ出版, 2021.12",55 p ; 30 cm
23578911,978-4-7609-2061-7,,ウイスキーが、お好きでしょ : ちょっとオシャレな混声合唱曲集 / 松波千映子 編曲,,,"東京 : カワイ出版, 2021.8",47 p ; 30 cm
23614347,978-4-7609-2062-4,,合唱祭はこの一冊で!合唱で大阪!!知らんけど : 混声合唱 / 安井恵一 編曲,,,"東京 : カワイ出版, 2021.11",33 p ; 30 cm
23601790,978-4-7609-2063-1,,瑠璃色の地球 : 無伴奏混声合唱のための / 田中達也 編曲,,,"東京 : カワイ出版, 2021.10",33 p ; 30 cm
23578900,978-4-7609-2071-6,,夕焼けパレード : 混声合唱曲 / 覚和歌子 作詩 ; 田中達也 作曲,,混声合唱ピース,"東京 : カワイ出版, 2021.8",10 p ; 30 cm
23578917,978-4-7609-2072-3,,レモンイエローの夏 : 無伴奏女声合唱のための / みなづきみのり 作詩 ; 田中達也 作曲,,女声合唱ピース,"東京 : カワイ出版, 2021.8",10 p ; 30 cm
23583672,978-4-7609-2073-0,,雨あがり : 同声二部合唱とピアノのための / 新川和江 作詩 ; 土田豊貴 作曲,,こどもコーラス・コレクション : ジュニア. 同声二部合唱ピース,"東京 : カワイ出版, 2021.8",10 p ; 30 cm
23583682,978-4-7609-2074-7,,空気 : 同声三部合唱とピアノのための / まど・みちお 作詩 ; 名田綾子 作曲,,こどもコーラス・コレクション : シニア. 同声三部合唱ピース,"東京 : カワイ出版, 2021.8",14 p ; 30 cm
23597695,978-4-7609-2075-4,,パラダイス銀河 / ASKA 作詞・作曲 ; 安井恵一 編曲,,昭和あたりのヒットソング. 混声合唱ピース,"東京 : カワイ出版, 2021.9",18 p ; 30 cm
23597694,978-4-7609-2076-1,,なないろ : 連続テレビ小説「おかえりモネ」主題歌 / 藤原基央 作詞・作曲 ; 石若雅弥 編曲,,合唱ピース,"東京 : カワイ出版, 2021.9",14 p ; 30 cm
23583661,978-4-7609-2077-8,,きりん : 同声二部合唱曲 / まど・みちお 作詩 ; 山下祐加 作曲,,こどもコーラス・コレクション : ジュニア. 同声三部合唱ピース,"東京 : カワイ出版, 2021.9",10 p ; 30 cm
23583666,978-4-7609-2078-5,,海水浴 : 同声三部合唱とピアノのための / 堀口大學 作詩 ; 松波千映子 作曲,,こどもコーラス・コレクション : シニア. 同声三部合唱ピース,"東京 : カワイ出版, 2021.9",11 p ; 30 cm
23601812,978-4-7609-2079-2,,ブルー・シャトウ / 橋本淳 作詞 ; 井上忠夫 作曲 ; 石若雅弥 編曲,,昭和あたりのヒットソング. 男声合唱ピース,"東京 : カワイ出版, 2021.10",9 p ; 30 cm
23601808,978-4-7609-2080-8,,Universe / 藤原聡 作詞・作曲 ; 石若雅弥 編曲,,合唱ピース,"東京 : カワイ出版, 2021.10",14 p ; 30 cm
23601806,978-4-7609-2081-5,,"さくら (二〇二〇合唱) : 無伴奏混声合唱のための / 森山直太朗, 御徒町凧 作詞 ; 森山直太朗 作曲 ; アベタカヒロ 編曲",,混声合唱ピース,"東京 : カワイ出版, 2021.10",10 p ; 30 cm
23614260,978-4-7609-2082-2,,時の過ぎゆくままに / 阿久悠 作詞 ; 大野克夫 作曲 ; 田中達也 編曲,,昭和あたりのヒットソング. 混声合唱ピース,"東京 : カワイ出版, 2021.11",7 p ; 30 cm
23613400,978-4-7609-2083-9,,Smile-晴れ渡る空のように / 桑田佳祐 作詞・作曲 ; 石若雅弥 編曲,,合唱ピース,"東京 : カワイ出版, 2021.11",11 p ; 30 cm
23613402,978-4-7609-2084-6,,祈ってもいいだろうか : 混声二部・同声二部 / 谷川俊太郎 作詩 ; 信長貴富 作曲,,合唱ピース,"東京 : カワイ出版, 2021.11",10 p ; 30 cm
23524397,978-4-7609-2092-1,,合唱祭はこの一冊で!はしれちょうとっきゅう : 男声合唱 / 德永洋明 編曲,,,"東京 : カワイ出版, 2021.3",27 p ; 30 cm
23614261,978-4-7609-2093-8,,合唱祭はこの一冊で!合唱で大阪!!知らんけど : 男声合唱 / 安井恵一 編曲,,,"東京 : カワイ出版, 2021.11",23 p ; 30 cm
23567471,978-4-7609-2095-2,,華麗なるショパン : 女声合唱のための愛のメドレー / 青木雅也 作詞・編曲,,,"東京 : カワイ出版, 2021.6",24 p ; 30 cm
23624417,978-4-7609-2096-9,,君の川柳 : 女声合唱曲 / 詠み人シラーズ 作詞 ; 信長貴富 作曲,,女声合唱ピース,"東京 : カワイ出版, 2021.12",23 p ; 30 cm
23624409,978-4-7609-2098-3,,明け星 / 梶浦由記 作詞・作曲 ; 石若雅弥 編曲,,合唱ピース,"東京 : カワイ出版, 2021.12",10 p ; 30 cm
23536147,978-4-7609-2198-0,,合唱エクササイズ. リモート・動画編 / 出雲謙一 著,,Shutto method,"東京 : カワイ出版, 2021.4",31 p ; 26 cm
23567464,978-4-7609-2238-3,,ドイツ歌めぐり : 女声合唱とピアノのための / 名田綾子 編曲,,,"東京 : カワイ出版, 2021.5",43 p ; 30 cm
23528624,978-4-7609-2243-7,,"うたおう!アニソン! : 児童合唱のためのアレンジ曲集 / 石若雅弥, 根岸宏輔 編曲",,,"東京 : カワイ出版, 2021.4",35 p ; 30 cm
